Video,t1Act1,t1Act2,t1ActAvg,t1Sent1,t1Sent2,t1SentAvg,t2Act1,t2Act2,t2ActAvg,t2Sent1,t2Sent2,t2SentAvg,t3Act1,t3Act2,t3ActAvg,t3Sent1,t3Sent2,t3SentAvg
2015 06 09 2,6,6,6.0,2,3,2.5,6.0,6,6.0,4.0,4,4.0,6.0,6.0,6.0,4.0,3.0,3.5
2015 06 09 3,7,7,7.0,2,2,2.0,7.0,6,6.5,3.0,3,3.0,7.0,7.0,7.0,4.0,4.0,4.0
2015 06 09 4,7,8,7.5,2,1,1.5,5.0,5,5.0,3.0,4,3.5,6.0,6.0,6.0,3.0,4.0,3.5
2015 06 09 5,6,7,6.5,2,3,2.5,7.0,5,6.0,2.0,3,2.5,7.0,8.0,7.5,3.0,3.0,3.0
2015 06 09 6,6,7,6.5,8,8,8.0,6.0,5,5.5,10.0,7,8.5,6.0,5.0,5.5,5.0,6.0,5.5
2015 06 09 7,8,7,7.5,0,2,1.0,8.0,7,7.5,1.0,3,2.0,8.0,7.0,7.5,2.0,3.0,2.5
2015 06 09 8,7,7,7.0,9,10,9.5,7.0,5,6.0,10.0,6,8.0,4.0,6.0,5.0,7.0,7.0,7.0
2015 06 09 9,5,6,5.5,6,7,6.5,5.0,5,5.0,5.0,6,5.5,4.0,3.0,3.5,6.0,6.0,6.0
2015 06 04 0,6,7,6.5,9,8,8.5,3.0,3,3.0,8.0,7,7.5,6.0,6.0,6.0,7.0,7.0,7.0
2015 06 04 1,7,7,7.0,3,3,3.0,8.0,5,6.5,5.0,6,5.5,6.0,6.0,6.0,4.0,4.0,4.0
2015 06 04 2,6,7,6.5,8,8,8.0,5.0,5,5.0,9.0,7,8.0,4.0,5.0,4.5,7.0,6.0,6.5
2015 06 04 3,7,7,7.0,2,3,2.5,7.0,6,6.5,3.0,3,3.0,7.0,7.0,7.0,3.0,3.0,3.0
2015 06 04 4,6,6,6.0,3,4,3.5,5.0,5,5.0,5.0,5,5.0,3.0,4.0,3.5,4.0,4.0,4.0
2015 06 04 5,7,8,7.5,0,2,1.0,5.0,5,5.0,2.0,2,2.0,6.0,6.0,6.0,3.0,3.0,3.0
2015 06 04 6,7,7,7.0,2,4,3.0,5.0,6,5.5,6.0,6,6.0,7.0,6.0,6.5,3.0,6.0,4.5
2015 06 04 7,8,7,7.5,2,3,2.5,7.0,6,6.5,2.0,3,2.5,7.0,7.0,7.0,3.0,4.0,3.5
2015 06 04 8,6,6,6.0,4,3,3.5,5.0,5,5.0,4.0,4,4.0,5.0,6.0,5.5,3.0,4.0,3.5
2015 06 04 9,6,6,6.0,1,3,2.0,7.0,5,6.0,3.0,4,3.5,7.0,7.0,7.0,3.0,3.0,3.0
2015 06 01 0,6,6,6.0,10,9,9.5,5.0,5,5.0,9.0,6,7.5,5.0,5.0,5.0,5.0,6.0,5.5
2015 06 01 1,6,6,6.0,8,8,8.0,4.0,5,4.5,7.0,6,6.5,5.0,6.0,5.5,7.0,7.0,7.0
2015 06 01 2,6,7,6.5,3,3,3.0,6.0,5,5.5,4.0,3,3.5,6.0,5.0,5.5,3.0,4.0,3.5
2015 06 01 3,6,6,6.0,8,7,7.5,5.0,3,4.0,7.0,7,7.0,4.0,5.0,4.5,6.0,6.0,6.0
2015 06 01 4,7,8,7.5,2,2,2.0,7.0,6,6.5,3.0,4,3.5,6.0,7.0,6.5,2.0,3.0,2.5
2015 06 01 5,6,6,6.0,3,3,3.0,3.0,6,4.5,4.0,4,4.0,5.0,5.0,5.0,4.0,4.0,4.0
