,Video,t1Act1,t1Act2,t1ActAvg,t1Sent1,t1Sent2,t1SentAvg,t2Act1,t2Act2,t2ActAvg,t2Sent1,t2Sent2,t2SentAvg,t3Act1,t3Act2,t3ActAvg,t3Sent1,t3Sent2,t3SentAvg,Unnamed: 0,v1Act1,v1Act2,v1ActAvg,v1Sent1,v1Sent2,v1SentAvg,v2Act1,v2Act2,v2ActAvg,v2Sent1,v2Sent2,v2SentAvg,v3Act1,v3Act2,v3ActAvg,v3Sent1,v3Sent2,v3SentAvg
640,2016 05 09 0,6,6,6.0,7,8,7.5,5.0,3,4.0,7.0,6,6.5,6.0,5.0,5.5,6.0,6.0,6.0,2016 05 09 0,8.0,5.0,6.5,6.0,5.0,5.5,,,,,,,5.0,,5.0,4.0,,4.0
641,2016 05 09 1,7,7,7.0,3,3,3.0,8.0,6,7.0,1.0,3,2.0,7.0,6.0,6.5,3.0,3.0,3.0,2016 05 09 1,2.0,3.0,2.5,7.0,6.0,6.5,3.0,,3.0,7.0,,7.0,4.0,,4.0,6.0,,6.0
642,2016 05 09 2,7,7,7.0,2,3,2.5,7.0,5,6.0,7.0,5,6.0,7.0,5.0,6.0,4.0,5.0,4.5,2016 05 09 2,3.0,4.0,3.5,6.0,6.0,6.0,,,,,,,,,,,,
643,2016 05 09 3,6,6,6.0,4,4,4.0,5.0,5,5.0,5.0,4,4.5,5.0,5.0,5.0,4.0,4.0,4.0,2016 05 09 3,3.0,,3.0,6.0,,6.0,,,,,,,,,,,,
644,2016 05 09 4,7,6,6.5,8,7,7.5,4.0,5,4.5,8.0,7,7.5,4.0,5.0,4.5,7.0,6.0,6.5,2016 05 09 4,6.0,6.0,6.0,2.0,4.0,3.0,7.0,7.0,7.0,5.0,6.0,5.5,,,,,,
645,2016 05 09 5,7,7,7.0,3,3,3.0,7.0,6,6.5,4.0,4,4.0,7.0,6.0,6.5,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
646,2016 05 09 6,6,7,6.5,6,6,6.0,7.0,1,4.0,4.0,7,5.5,4.0,4.0,4.0,4.0,5.0,4.5,2016 05 09 6,7.0,,7.0,5.0,,5.0,,,,,,,6.0,,6.0,4.0,,4.0
647,2016 05 09 7,6,6,6.0,7,6,6.5,5.0,5,5.0,5.0,5,5.0,5.0,3.0,4.0,5.0,5.0,5.0,2016 05 09 7,4.0,5.0,4.5,6.0,6.0,6.0,5.0,6.0,5.5,6.0,6.0,6.0,5.0,,5.0,5.0,,5.0
648,2016 05 09 8,6,6,6.0,4,4,4.0,5.0,5,5.0,5.0,5,5.0,6.0,6.0,6.0,4.0,5.0,4.5,2016 05 09 8,5.0,,5.0,5.0,,5.0,,,,,,,,,,,,
649,2016 05 09 9,6,7,6.5,6,8,7.0,1.0,2,1.5,5.0,6,5.5,6.0,5.0,5.5,6.0,6.0,6.0,2016 05 09 9,,,,,,,7.0,,7.0,5.0,,5.0,,,,,,
650,2016 05 04 0,6,7,6.5,8,9,8.5,4.0,4,4.0,9.0,7,8.0,6.0,6.0,6.0,6.0,6.0,6.0,2016 05 04 0,8.0,,8.0,6.0,,6.0,,,,,,,,,,,,
651,2016 05 04 1,7,6,6.5,2,2,2.0,7.0,6,6.5,2.0,4,3.0,7.0,6.0,6.5,3.0,3.0,3.0,2016 05 04 1,3.0,,3.0,5.0,,5.0,,,,,,,3.0,4.0,3.5,5.0,6.0,5.5
652,2016 05 04 2,6,6,6.0,5,7,6.0,6.0,5,5.5,5.0,5,5.0,5.0,6.0,5.5,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,
653,2016 05 04 3,6,6,6.0,8,8,8.0,8.0,5,6.5,10.0,7,8.5,6.0,5.0,5.5,7.0,6.0,6.5,,,,,,,,,,,,,,,,,,,
654,2016 05 04 4,6,6,6.0,9,7,8.0,3.0,2,2.5,8.0,7,7.5,5.0,5.0,5.0,6.0,6.0,6.0,2016 05 04 4,,,,,,,6.0,,6.0,5.0,,5.0,,,,,,
655,2016 05 04 5,7,7,7.0,3,3,3.0,7.0,6,6.5,3.0,4,3.5,8.0,7.0,7.5,3.0,4.0,3.5,2016 05 04 5,3.0,4.0,3.5,6.0,6.0,6.0,,,,,,,,,,,,
656,2016 05 04 6,7,7,7.0,2,2,2.0,6.0,6,6.0,0.0,3,1.5,6.0,6.0,6.0,3.0,3.0,3.0,2016 05 04 6,4.0,4.0,4.0,5.0,5.0,5.0,,,,,,,,,,,,
657,2016 05 04 7,7,7,7.0,4,3,3.5,8.0,6,7.0,3.0,3,3.0,6.0,6.0,6.0,3.0,4.0,3.5,2016 05 04 7,3.0,3.0,3.0,7.0,6.0,6.5,3.0,,3.0,7.0,,7.0,4.0,,4.0,7.0,,7.0
658,2016 05 04 8,7,7,7.0,2,3,2.5,8.0,8,8.0,0.0,1,0.5,7.0,7.0,7.0,2.0,3.0,2.5,2016 05 04 8,1.0,2.0,1.5,7.0,7.0,7.0,2.0,,2.0,6.0,,6.0,4.0,,4.0,5.0,,5.0
659,2016 05 04 9,7,7,7.0,3,3,3.0,6.0,6,6.0,4.0,4,4.0,7.0,6.0,6.5,4.0,3.0,3.5,2016 05 04 9,4.0,,4.0,6.0,,6.0,,,,,,,,,,,,
660,2016 04 22 0,7,8,7.5,8,8,8.0,7.0,5,6.0,10.0,7,8.5,6.0,7.0,6.5,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,
661,2016 04 22 1,6,6,6.0,9,7,8.0,7.0,4,5.5,7.0,8,7.5,5.0,7.0,6.0,7.0,6.0,6.5,2016 04 22 1,,,,,,,6.0,,6.0,7.0,,7.0,,,,,,
662,2016 04 22 2,7,6,6.5,2,3,2.5,5.0,5,5.0,3.0,3,3.0,6.0,6.0,6.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
663,2016 04 22 3,7,7,7.0,10,9,9.5,6.0,5,5.5,9.0,7,8.0,6.0,6.0,6.0,7.0,6.0,6.5,2016 04 22 3,6.0,5.0,5.5,6.0,6.0,6.0,,,,,,,,,,,,
664,2016 04 22 4,5,6,5.5,7,7,7.0,5.0,3,4.0,8.0,7,7.5,4.0,5.0,4.5,7.0,6.0,6.5,2016 04 22 4,5.0,,5.0,5.0,,5.0,8.0,6.0,7.0,6.0,6.0,6.0,,,,,,
665,2016 04 22 5,5,7,6.0,4,4,4.0,7.0,5,6.0,4.0,3,3.5,4.0,6.0,5.0,3.0,4.0,3.5,,,,,,,,,,,,,,,,,,,
666,2016 04 22 6,6,6,6.0,6,7,6.5,6.0,5,5.5,9.0,2,5.5,7.0,7.0,7.0,7.0,4.0,5.5,2016 04 22 6,4.0,,4.0,6.0,,6.0,4.0,,4.0,5.0,,5.0,5.0,,5.0,5.0,,5.0
667,2016 04 22 7,7,6,6.5,7,6,6.5,10.0,8,9.0,2.0,5,3.5,7.0,7.0,7.0,6.0,4.0,5.0,2016 04 22 7,4.0,,4.0,4.0,,4.0,,,,,,,,,,,,
668,2016 04 22 8,7,7,7.0,2,3,2.5,7.0,5,6.0,2.0,3,2.5,6.0,7.0,6.5,3.0,3.0,3.0,2016 04 22 8,,,,,,,3.0,3.0,3.0,7.0,7.0,7.0,,,,,,
669,2016 04 22 9,6,6,6.0,3,3,3.0,5.0,7,6.0,5.0,3,4.0,7.0,7.0,7.0,2.0,3.0,2.5,2016 04 22 9,,,,,,,4.0,,4.0,6.0,,6.0,,,,,,
670,2016 04 19 0,7,7,7.0,2,3,2.5,6.0,6,6.0,4.0,3,3.5,6.0,7.0,6.5,3.0,3.0,3.0,2016 04 19 0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,,6.0,7.0,,7.0,,,,,,
671,2016 04 19 1,7,7,7.0,8,7,7.5,6.0,6,6.0,8.0,6,7.0,5.0,6.0,5.5,7.0,6.0,6.5,2016 04 19 1,,,,,,,6.0,,6.0,7.0,,7.0,,,,,,
