,v1Act1,v1Act2,v1ActAvg,v1Sent1,v1Sent2,v1SentAvg,v2Act1,v2Act2,v2ActAvg,v2Sent1,v2Sent2,v2SentAvg,v3Act1,v3Act2,v3ActAvg,v3Sent1,v3Sent2,v3SentAvg,Video
2015 05 12 2,3.0,5.0,4.0,6.0,4.0,5.0,5.0,6.0,5.5,5.0,6.0,5.5,3.0,,3.0,5.0,,5.0,2015 05 12 2
2015 05 12 3,,,,,,,5.0,6.0,5.5,5.0,6.0,5.5,5.0,,5.0,5.0,,5.0,2015 05 12 3
2015 05 12 4,7.0,7.0,7.0,2.0,3.0,2.5,7.0,7.0,7.0,2.0,2.0,2.0,,,,,,,2015 05 12 4
2015 05 12 6,6.0,5.0,5.5,5.0,5.0,5.0,5.0,,5.0,9.0,,9.0,5.0,,5.0,5.0,,5.0,2015 05 12 6
2015 05 12 7,6.0,,6.0,3.0,,3.0,8.0,,8.0,2.0,,2.0,,,,,,,2015 05 12 7
2015 05 12 8,,,,,,,6.0,6.0,6.0,3.0,2.0,2.5,,,,,,,2015 05 12 8
2015 05 12 9,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.5,5.0,5.0,5.0,,,,,,,2015 05 12 9
2015 05 15 0,4.0,5.0,4.5,7.0,0.0,3.5,5.0,,5.0,4.0,,4.0,5.0,,5.0,5.0,,5.0,2015 05 15 0
2015 05 15 1,,,,,,,5.0,,5.0,6.0,,6.0,3.0,,3.0,6.0,,6.0,2015 05 15 1
2015 05 15 2,8.0,,8.0,2.0,,2.0,9.0,,9.0,1.0,,1.0,,,,,,,2015 05 15 2
2015 05 15 3,4.0,,4.0,4.0,,4.0,,,,,,,,,,,,,2015 05 15 3
2015 05 15 4,5.0,6.0,5.5,4.0,3.0,3.5,,,,,,,,,,,,,2015 05 15 4
2015 05 15 5,6.0,7.0,6.5,3.0,2.0,2.5,7.0,6.0,6.5,3.0,3.0,3.0,,,,,,,2015 05 15 5
2015 05 15 6,5.0,,5.0,3.0,,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,,5.0,2015 05 15 6
2015 05 15 7,3.0,5.0,4.0,5.0,7.0,6.0,6.0,,6.0,8.0,,8.0,4.0,,4.0,7.0,,7.0,2015 05 15 7
2015 05 15 9,4.0,2.0,3.0,5.0,5.0,5.0,4.0,,4.0,5.0,,5.0,4.0,,4.0,5.0,,5.0,2015 05 15 9
2015 05 27 0,6.0,6.0,6.0,3.0,3.0,3.0,6.0,5.0,5.5,4.0,5.0,4.5,6.0,,6.0,5.0,,5.0,2015 05 27 0
2015 05 27 1,7.0,6.0,6.5,3.0,4.0,3.5,6.0,6.0,6.0,4.0,4.0,4.0,5.0,7.0,6.0,5.0,5.0,5.0,2015 05 27 1
2015 05 27 2,7.0,,7.0,2.0,,2.0,7.0,7.0,7.0,6.0,4.0,5.0,6.0,,6.0,4.0,,4.0,2015 05 27 2
2015 05 27 3,7.0,6.0,6.5,2.0,3.0,2.5,7.0,,7.0,2.0,,2.0,6.0,,6.0,4.0,,4.0,2015 05 27 3
2015 05 27 4,,,,,,,6.0,7.0,6.5,2.0,2.0,2.0,,,,,,,2015 05 27 4
2015 05 27 5,5.0,6.0,5.5,4.0,4.0,4.0,,,,,,,6.0,,6.0,3.0,,3.0,2015 05 27 5
2015 05 27 6,5.0,5.0,5.0,3.0,4.0,3.5,6.0,6.0,6.0,5.0,5.0,5.0,,,,,,,2015 05 27 6
2015 05 27 7,6.0,,6.0,4.0,,4.0,6.0,6.0,6.0,4.0,5.0,4.5,5.0,,5.0,5.0,,5.0,2015 05 27 7
2015 05 27 8,5.0,,5.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,,,,,,,2015 05 27 8
2015 05 27 9,5.0,6.0,5.5,3.0,4.0,3.5,6.0,,6.0,3.0,,3.0,6.0,6.0,6.0,5.0,5.0,5.0,2015 05 27 9
2015 06 01 0,5.0,,5.0,5.0,,5.0,5.0,,5.0,7.0,,7.0,5.0,5.0,5.0,5.0,5.0,5.0,2015 06 01 0
2015 06 01 1,,,,,,,,,,,,,3.0,,3.0,5.0,,5.0,2015 06 01 1
2015 06 01 2,,,,,,,6.0,,6.0,4.0,,4.0,,,,,,,2015 06 01 2
2015 06 01 3,2.0,,2.0,5.0,,5.0,5.0,,5.0,8.0,,8.0,,,,,,,2015 06 01 3
2015 06 01 4,7.0,6.0,6.5,2.0,2.0,2.0,,,,,,,,,,,,,2015 06 01 4
2015 06 01 5,4.0,,4.0,5.0,,5.0,,,,,,,,,,,,,2015 06 01 5
2015 06 01 6,,,,,,,6.0,6.0,6.0,8.0,7.0,7.5,,,,,,,2015 06 01 6
2015 06 01 7,6.0,6.0,6.0,4.0,4.0,4.0,,,,,,,,,,,,,2015 06 01 7
2015 06 01 8,,,,,,,7.0,7.0,7.0,6.0,7.0,6.5,,,,,,,2015 06 01 8
2015 06 01 9,6.0,,6.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,6.0,,6.0,5.0,,5.0,2015 06 01 9
2015 06 04 0,5.0,,5.0,5.0,,5.0,,,,,,,6.0,,6.0,5.0,,5.0,2015 06 04 0
2015 06 04 1,5.0,,5.0,3.0,,3.0,4.0,5.0,4.5,4.0,3.0,3.5,,,,,,,2015 06 04 1
2015 06 04 3,,,,,,,7.0,,7.0,3.0,,3.0,7.0,,7.0,4.0,,4.0,2015 06 04 3
2015 06 04 4,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2015 06 04 4
2015 06 04 5,6.0,,6.0,3.0,,3.0,7.0,,7.0,1.0,,1.0,,,,,,,2015 06 04 5
2015 06 04 6,,,,,,,,,,,,,3.0,,3.0,5.0,,5.0,2015 06 04 6
2015 06 04 7,6.0,6.0,6.0,3.0,3.0,3.0,,,,,,,,,,,,,2015 06 04 7
2015 06 04 8,7.0,,7.0,2.0,,2.0,8.0,8.0,8.0,3.0,3.0,3.0,,,,,,,2015 06 04 8
2015 06 09 1,6.0,,6.0,4.0,,4.0,,,,,,,5.0,6.0,5.5,5.0,4.0,4.5,2015 06 09 1
2015 06 09 2,,,,,,,,,,,,,5.0,,5.0,5.0,,5.0,2015 06 09 2
2015 06 09 3,7.0,8.0,7.5,2.0,2.0,2.0,,,,,,,,,,,,,2015 06 09 3
2015 06 09 4,5.0,,5.0,4.0,,4.0,,,,,,,,,,,,,2015 06 09 4
2015 06 09 5,7.0,,7.0,2.0,,2.0,,,,,,,,,,,,,2015 06 09 5
2015 06 09 6,,,,,,,,,,,,,3.0,,3.0,5.0,,5.0,2015 06 09 6
2015 06 09 7,8.0,,8.0,1.0,,1.0,,,,,,,,,,,,,2015 06 09 7
2015 06 09 8,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2015 06 09 8
2015 06 09 9,5.0,3.0,4.0,7.0,5.0,6.0,,,,,,,,,,,,,2015 06 09 9
2015 06 12 1,5.0,,5.0,5.0,,5.0,5.0,,5.0,7.0,,7.0,,,,,,,2015 06 12 1
2015 06 12 2,,,,,,,8.0,,8.0,4.0,,4.0,,,,,,,2015 06 12 2
2015 06 12 3,5.0,,5.0,5.0,,5.0,,,,,,,,,,,,,2015 06 12 3
2015 06 12 4,5.0,,5.0,4.0,,4.0,5.0,,5.0,3.0,,3.0,,,,,,,2015 06 12 4
2015 06 12 5,,,,,,,6.0,,6.0,5.0,,5.0,,,,,,,2015 06 12 5
2015 06 12 6,5.0,,5.0,5.0,,5.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,2015 06 12 6
2015 06 12 7,,,,,,,6.0,6.0,6.0,8.0,8.0,8.0,,,,,,,2015 06 12 7
2015 06 12 8,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2015 06 12 8
2015 06 12 9,,,,,,,6.0,,6.0,6.0,,6.0,,,,,,,2015 06 12 9
