Order,Video,Coder,Sentiment,Activation,Anger,Disgust,Fear,Surprise,Sadness,Happiness
3113,2017 04 12 7,JS,4,6,1,1,0,0,0,0
3114,2015 05 27 0,JS,5,6,0,0,0,0,0,0
3115,2017 12 05 1,JS,5,6,0,0,0,0,0,0
3116,2017 12 13 4,JS,7,10,1,0,0,0,0,0
3117,2015 03 24 1,JS,5,4,0,0,0,0,0,0
3118,2015 04 24 3,JS,2,2,0,1,0,0,0,0
3119,2017 10 30 7,JS,4,7,1,0,0,0,0,0
3120,2017 06 06 0,JS,6,5,0,0,0,0,0,0
3121,2017 06 06 7,JS,5,5,0,0,0,0,0,0
3123,2017 04 07 4,JS,3,5,1,1,0,0,0,0
3124,2017 10 25 2,JS,3,8,1,1,0,0,0,0
3125,2017 12 05 2,JS,5,6,0,0,0,0,0,0
3126,2017 06 01 0,JS,5,5,0,0,0,0,0,0
3127,2017 03 20 9,JS,5,5,0,0,0,0,0,0
3128,2016 10 31 7,JS,4,6,1,0,0,0,0,0
3130,2016 09 19 5,JS,7,5,0,0,0,0,0,0
3131,2016 05 20 3,JS,3,6,0,0,0,0,0,0
3132,2016 04 11 6,JS,4,6,1,0,0,0,0,0
3133,2015 06 09 6,JS,5,3,0,0,0,0,0,0
3134,2015 02 20 8,JS,5,5,0,0,0,0,0,0
3135,2015 04 29 4,JS,5,5,0,0,0,0,0,0
3136,2017 11 07 9,JS,2,8,0,0,0,0,0,0
3137,2017 06 06 3,JS,5,5,0,0,0,0,0,0
3138,2017 04 12 1,JS,5,6,0,0,0,0,0,0
3139,2017 04 12 9,JS,5,5,0,0,0,0,0,0
3140,2015 05 15 9,JS,5,4,0,0,0,0,0,0
3141,2017 12 05 2,JS,6,6,0,0,0,0,0,0
3142,2015 01 28 2,JS,5,5,0,0,0,0,0,0
3143,2015 03 24 5,JS,6,4,0,0,0,0,0,0
3144,2017 10 05 6,JS,5,5,0,0,0,0,0,0
3145,2015 05 27 7,JS,5,5,0,0,0,0,0,0
3146,2017 05 15 2,JS,5,6,0,1,0,0,0,0
3147,2017 11 02 6,JS,5,3,0,0,0,0,0,0
3148,2017 04 07 6,JS,5,5,0,0,0,0,0,0
3149,2017 10 25 3,JS,2,7,1,1,0,0,0,0
3150,2017 11 20 6,JS,2,5,1,1,0,0,0,0
3151,2017 09 22 8,JS,5,5,0,0,0,0,0,0
3152,2017 05 18 5,JS,4,5,0,0,0,0,0,1
3153,2017 04 07 5,JS,6,6,0,0,0,0,0,0
3154,2016 11 16 0,JS,4,5,0,1,0,0,0,0
3155,2016 12 07 5,JS,8,8,0,0,0,0,0,1
3156,2016 06 10 1,JS,3,4,0,1,0,0,0,0
3157,2016 05 09 1,JS,6,4,0,1,0,1,0,0
3158,2015 12 07 7,JS,4,5,0,0,0,0,0,0
3159,2016 02 05 9,JS,4,7,1,0,0,1,0,0
3160,2015 03 27 8,JS,7,5,0,0,0,0,0,0
3161,2015 02 20 9,JS,5,5,0,0,0,0,0,0
3162,2017 12 05 6,JS,2,8,1,1,0,0,0,0
3163,2017 11 20 4,JS,5,5,0,0,0,0,0,0
3164,2017 04 12 6,JS,5,4,0,0,0,0,0,0
3165,2017 11 20 1,JS,7,6,0,0,0,0,0,0
3166,2017 12 08 3,JS,3,4,1,0,0,0,0,0
3167,2017 12 08 1,JS,4,6,1,0,0,1,0,0
3168,2015 03 09 6,JS,5,4,0,0,1,0,0,0
3169,2015 02 25 3,JS,4,4,0,0,0,0,0,0
3170,2015 05 12 1,JS,6,5,0,0,0,0,0,0
3171,2017 10 05 0,JS,7,6,0,0,0,0,0,0
3172,2017 09 22 6,JS,4,6,1,1,0,0,0,0
3173,2017 10 25 8,JS,5,6,0,0,0,0,0,0
3174,2017 10 25 0,JS,3,6,0,1,0,0,0,0
3175,2017 09 22 7,JS,3,6,0,1,0,0,0,0
3176,2017 09 22 5,JS,5,4,0,0,0,0,0,0
3177,2017 11 28 2,JS,5,4,0,0,0,0,0,0
3178,2017 05 18 2,JS,5,3,0,1,0,0,0,0
